cut,depth,color_D,color_F,color_I,price_high,price_low,price_medium,price_premium,target,distance,shortestdistance,Associated_target
0,0.731343284,0,0,1,0,0,1,0,0.84,2.26822708,,
1,0.567164179,0,1,0,0,0,1,0,0.7,2.011675101,,
0,0.02238806,1,0,0,0,0,1,0,0.71,1.762900767,,
0,0.76119403,0,1,0,0,0,1,0,0.7,2.273426349,,
1,0.671641791,0,1,0,0,0,1,0,0.7,2.025579901,,
0,0.694029851,0,0,1,0,0,1,0,0.81,2.262265152,,
0,0.753731343,1,0,0,0,0,1,0,0.72,1.778312956,,
1,0.641791045,0,1,0,0,0,1,0,0.7,2.021065823,,
0,0.679104478,0,1,0,0,0,1,0,0.59,2.260048476,,
1,0.23880597,0,0,1,0,0,1,0,0.79,2.003130208,,
1,0.619402985,0,1,0,0,0,1,0,0.71,2.017963437,,
0,0.828358209,0,1,0,0,0,1,0,0.7,2.28650676,,
0,0.156716418,0,0,1,0,0,1,0,0.88,2.244470446,,
0,0.73880597,1,0,0,0,0,1,0,0.7,1.774990234,,
0,0.71641791,0,0,1,0,0,1,0,0.83,2.265770454,,
1,0.656716418,0,1,0,0,0,1,0,0.72,2.023269071,,
1,0.358208955,0,1,0,0,0,1,0,0.7,2.000013923,,
1,0.544776119,0,1,0,0,0,1,0,0.7,2.009389853,,
1,0.567164179,0,1,0,0,0,1,0,0.7,2.011675101,,
0,0.679104478,1,0,0,0,0,1,0,0.71,1.762900767,,
0,0.694029851,0,1,0,0,0,1,0,0.74,2.262265152,,
1,0.634328358,0,0,1,0,0,1,0,0.81,2.020004654,,
1,0.634328358,0,0,1,0,0,1,0,0.81,2.020004654,,
0,0.753731343,0,1,0,0,0,1,0,0.75,2.272090881,,
0,0.78358209,0,0,1,0,0,1,0,0.9,2.277574773,,
1,0.201492537,0,1,0,0,0,1,0,0.72,2.005561437,,
1,0.611940299,0,1,0,0,0,1,0,0.72,2.016983471,,
1,0.432835821,0,1,0,0,0,1,0,0.72,2.001683965,,
0,0.007462687,0,1,0,0,0,1,0,0.72,2.262265152,,
1,0.201492537,1,0,0,0,0,1,0,0.7,1.422067747,,
0,0.686567164,0,1,0,0,0,1,0,0.7,2.261144771,,
0,0.746268657,0,1,0,0,0,1,0,0.7,2.270779153,,
1,0.694029851,0,0,1,0,0,1,0,0.83,2.029247057,,
1,0.186567164,0,1,0,0,0,1,0,0.71,2.00672738,,
1,0.634328358,0,1,0,0,0,1,0,0.71,2.020004654,,
1,0.597014925,1,0,0,0,0,1,0,0.71,1.435495821,,
1,0.186567164,0,1,0,0,0,1,0,0.71,2.00672738,,
1,0.634328358,0,1,0,0,0,1,0,0.71,2.020004654,,
0,0.432835821,0,1,0,0,0,1,0,0.74,2.237574288,,
1,0.671641791,0,0,1,0,0,1,0,0.91,2.025579901,,
1,0.649253731,1,0,0,0,0,1,0,0.72,1.445374244,,
1,0.28358209,0,1,0,0,0,1,0,0.7,2.001127439,,
0,0.119402985,1,0,0,0,0,1,0,0.71,1.747432321,,
1,0.671641791,0,0,1,0,0,1,0,0.91,2.025579901,,
1,0.52238806,1,0,0,0,0,1,0,0.71,1.424591487,,
1,0.373134328,0,1,0,0,0,1,0,0.77,2.000125302,,
0,0.656716418,0,0,1,0,0,1,0,0.9,2.256904458,,
1,0.604477612,1,0,0,0,0,1,0,0.7,1.436794903,,
1,0.641791045,1,0,0,1,0,0,0,0.7,1.443851468,,
1,0.656716418,1,0,0,1,0,0,0,0.7,1.446933907,,
0,0.679104478,0,0,1,1,0,0,0,0.92,2.260048476,,
1,0.201492537,1,0,0,1,0,0,0,0.7,1.422067747,,
0,0.701492537,1,0,0,1,0,0,0,0.71,1.767207669,,
1,0.179104478,1,0,0,1,0,0,0,0.7,1.424591487,,
1,0.589552239,1,0,0,1,0,0,0,0.7,1.434234392,,
1,0.641791045,1,0,0,1,0,0,0,0.7,1.443851468,,
1,0.656716418,1,0,0,1,0,0,0,0.7,1.446933907,,
1,0.529850746,0,0,1,1,0,0,0,0.9,2.008003589,,
1,0.529850746,0,0,1,1,0,0,0,0.9,2.008003589,,
0,0.149253731,0,0,1,1,0,0,0,0.87,2.24512789,,
0,0.723880597,0,1,0,1,0,0,0,0.84,2.266986817,,
0,0.059701493,0,0,1,1,0,0,0,0.96,2.254929503,,
1,0.626865672,0,0,1,1,0,0,0,0.9,2.018970511,,
1,0.634328358,0,0,1,1,0,0,0,0.9,2.020004654,,
0,0.753731343,0,0,1,1,0,0,0,0.9,2.272090881,,
0,0.701492537,0,0,1,1,0,0,0,0.93,2.263409584,,
0,0.776119403,0,0,1,1,0,0,0,1,2.276168338,,
1,0.388059701,0,1,0,1,0,0,0,0.8,2.000348043,,
1,0.664179104,0,0,1,1,0,0,0,0.91,2.024411061,,
1,0.649253731,1,0,0,1,0,0,0,0.78,1.445374244,,
1,0.626865672,0,0,1,1,0,0,0,0.9,2.018970511,,
1,0.634328358,0,0,1,1,0,0,0,0.9,2.020004654,,
1,0.23880597,0,0,1,1,0,0,0,0.9,2.003130208,,
1,0.417910448,0,1,0,1,0,0,0,0.82,2.001127439,,
1,0.537313433,0,0,1,1,0,0,0,0.9,2.008682978,,
1,0.671641791,1,0,0,1,0,0,0,0.77,1.450163417,,
1,0.589552239,0,1,0,1,0,0,0,0.8,2.014206616,,
1,0.611940299,1,0,0,1,0,0,0,0.76,1.438131538,,
1,0.582089552,1,0,0,1,0,0,0,0.77,1.433010717,,
1,0.343283582,1,0,0,0,0,0,1,0.7,0.007462687,,
0,1,0,0,1,0,0,0,1,1.01,1.849737929,,
1,0.194029851,1,0,0,0,0,0,1,0.9,0.156716418,,
1,0.619402985,0,0,1,0,0,0,1,1.01,1.43950562,,
1,0.134328358,0,0,1,0,0,0,1,1.01,1.430677012,,
1,0.201492537,0,0,1,0,0,0,1,0.91,1.422067747,,
0,0.776119403,0,1,0,0,0,0,1,0.9,1.783519639,,
1,0.320895522,0,0,1,0,0,0,1,0.92,1.414528567,,
0,0.858208955,0,1,0,0,0,0,1,0.91,1.804859656,,
1,0.626865672,0,1,0,0,0,0,1,0.96,1.440917043,,
0,0.164179104,1,0,0,0,0,0,1,0.9,1.017254789,,
0,0.701492537,0,1,0,0,0,0,1,0.9,1.767207669,,
1,0.21641791,0,0,1,0,0,0,1,0.93,1.420578793,,
0,0.268656716,0,1,0,0,0,0,1,0.9,1.73399501,,
1,0.350746269,1,0,0,0,0,0,1,0.71,0,,
